2026-04-14 15:21:46 | CPU: 50.0 | MEM: 15.8% | DISK: 14.0%
2026-04-14 15:21:51 | CPU: 1.5 | MEM: 15.8% | DISK: 14.0%
2026-04-14 15:21:56 | CPU: 1.5 | MEM: 15.9% | DISK: 14.0%
2026-04-14 15:23:02 | CPU: 66.7 | MEM: 15.8% | DISK: 14.0%
2026-04-14 15:23:07 | CPU: 2.0 | MEM: 15.9% | DISK: 14.0%
2026-04-14 15:23:12 | CPU: 1.6 | MEM: 15.9% | DISK: 14.0%
2026-04-14 15:24:20 | CPU: 50.0 | MEM: 16.0% | DISK: 14.0%
2026-04-14 15:24:25 | CPU: 1.4 | MEM: 15.9% | DISK: 14.0%
2026-04-14 15:24:30 | CPU: 1.2 | MEM: 15.9% | DISK: 14.0%
2026-04-14 15:29:40 | CPU: 0.0 | MEM: 15.9% | DISK: 14.0%
2026-04-14 15:29:45 | CPU: 1.7 | MEM: 15.8% | DISK: 14.0%
2026-04-14 15:29:50 | CPU: 1.3 | MEM: 16.0% | DISK: 14.0%
2026-04-14 15:35:55 | CPU: 0.0 | MEM: 15.9% | DISK: 14.0%
2026-04-14 15:36:00 | CPU: 1.4 | MEM: 15.9% | DISK: 14.0%
2026-04-14 15:36:05 | CPU: 1.3 | MEM: 15.8% | DISK: 14.0%
2026-04-14 15:45:04 | CPU: 50.0 | MEM: 16.0% | DISK: 14.0%
2026-04-14 15:45:09 | CPU: 1.0 | MEM: 16.0% | DISK: 14.0%
2026-04-14 15:45:14 | CPU: 1.2 | MEM: 15.9% | DISK: 14.0%
2026-04-14 15:49:02 | CPU: 50.0 | MEM: 16.0% | DISK: 14.0%
2026-04-14 15:49:07 | CPU: 1.2 | MEM: 16.0% | DISK: 14.0%
2026-04-14 15:49:12 | CPU: 1.2 | MEM: 15.9% | DISK: 14.0%
